,name,state,review_count,stars
3,St Honore Pastries,PA,80,4.0
4,Perkiomen Valley Brewery,PA,13,4.5
5,Sonic Drive-In,TN,6,2.0
9,Sonic Drive-In,TN,10,1.5
11,Vietnamese Food Truck,FL,10,4.0
12,Denny's,IN,28,2.5
15,Tuna Bar,PA,245,4.0
19,BAP,PA,205,4.5
22,Hibachi Express,IN,20,4.0
23,Romano's Macaroni Grill,NV,339,2.5
29,Domino's Pizza,TN,8,3.5
33,Ardmore Pizza,PA,109,3.5
35,Craft Hall,PA,65,3.5
41,Tony's Restaurant & 3rd Street Cafe,IL,94,3.0
46,Naked Cyber Cafe & Espresso Bar,AB,12,4.0
49,Core de Roma,PA,12,5.0
52,Breadland Organic Whole Grain Bakery,AB,23,4.0
56,Smoothie King,AZ,29,3.0
61,Twin Peaks,IN,257,3.5
68,Sweet Things Chocolates,IN,13,4.0
70,Mr. Margarita,NV,7,5.0
73,Sharky's Sports Bar & Grill,NJ,29,2.5
75,39 North Taproom & Grill,PA,25,4.5
79,Top Shelf Sports Lounge,FL,95,4.5
81,Bier Brewery and Tap Room,IN,139,4.5
82,Wawa,PA,56,3.0
85,Helena Avenue Bakery,CA,389,4.0
87,Copper Vine,LA,350,4.5
88,Fresh Fruits & Salads,NJ,6,4.5
89,Mike's Ice Cream,TN,593,4.5
93,Impasto,FL,5,5.0
97,Silver and Blue Outfitters,NV,5,4.5
102,Crafty Crab,IL,14,2.5
103,Mahony's Po-Boys & Seafood,LA,382,4.0
104,Taqueria Los Primos,DE,23,4.0
106,The Pearl,FL,129,4.0
110,Sunset 44 Bistro,MO,73,4.0
112,Budweiser Brewery Experience,MO,605,4.5
119,Nashville Delivers,TN,7,3.5
122,Subway,TN,14,2.5
126,Papa Murphy's,AZ,22,4.0
129,Nipper's Pub,NJ,29,3.5
130,Golden Chopstick Chinese Restaurant,PA,137,3.0
132,Home Plate Sports Pub,AZ,56,3.5
133,Cold Stone Creamery,IN,19,3.0
140,The Cake Drip,FL,40,4.0
141,Santa Barbara Shellfish Company,CA,2404,4.0
144,Payless Liquors,IN,13,3.5
147,Yogurt Beach,NV,12,4.5
153,Chipotle Mexican Grill,FL,19,3.0
159,Cerveza Jack's,TN,182,4.0
161,Wendy's,TN,37,1.5
165,Bar-B-Cutie,TN,40,3.5
167,Sal DeForte's Ristorante,NJ,52,4.0
169,CVS Pharmacy,IN,10,2.5
181,Gaylord Opryland Resort & Convention Center,TN,1639,3.0
182,Rita's Italian Ice,PA,7,4.0
187,Tim Hortons,AB,6,3.5
188,PDQ Temple Terrace,FL,5,3.0
191,Roma Pizza & Italian Eatery,PA,25,2.5
193,McDonald's,MO,100,1.5
196,The Handlebar Boise,ID,34,4.5
198,Aussie Grill,FL,75,4.0
199,Wendy's,PA,15,1.5
200,China Pearl,PA,27,1.5
202,Bagelicious - King Of Prussia,PA,60,3.5
205,ReAnimator Coffee,PA,105,4.0
209,The Mad Griddle ,IN,7,5.0
213,530 Pub & Grill,FL,6,4.5
218,Eddie's Southtown Donuts,MO,55,4.5
220,Rite Aid,NJ,6,4.5
221,Tomo Japanese Steakhouse and Sushi Bar,IN,246,4.0
224,O'Briens Irish Pub,FL,108,4.0
228,Mister B's Cigar Box,IN,13,3.5
234,Rosati's Pizza,AZ,58,4.0
235,Red Hook Coffee & Tea,PA,183,4.5
240,Frankie's Fruit Bar,NV,34,4.5
245,Chrysalis,TN,112,4.5
252,Scout's Treat Truck,IN,20,4.5
254,Four Green Fields,FL,39,4.5
256,Cafe Con Leche,FL,55,2.5
257,CVS Pharmacy,PA,11,3.0
258,Express Cafe,ID,119,4.5
264,Boston Pizza,AB,14,3.5
266,Baltic Bakery,PA,12,4.5
274,Brown Sugar Bakery & Cafe,PA,66,4.5
288,Best Tours,PA,38,1.0
291,The Pepper Pott,TN,18,5.0
292,La Sponda,PA,29,4.5
296,The Cider Factory,NV,104,4.5
301,Federal Donuts,PA,11,4.5
315,Williams Sub Shop,FL,99,4.5
316,Franklin Juice Co,TN,66,4.5
319,Sher-e-Punjab,AZ,446,4.0
320,Go! Gyro! Go!,MO,49,4.5
332,Domino's Pizza,IN,12,4.0
338,Fine Wine & Good Spirits,PA,8,3.5
339,Brandon Burgers,FL,24,3.5
340,World of Beer,PA,208,3.0
343,Carmine's Steakhouse,MO,261,4.0
345,G Peppers Grill & Tavern,FL,82,4.0
350,Taste of Nawlins,LA,178,4.0
351,Iguana's Mexican Restaurant,IN,74,4.0
352,Blaze Pizza,LA,302,4.0
358,Brewster's Pub,NJ,12,3.5
360,Burger Village,AB,10,4.0
361,McDonald's,PA,17,1.5
365,Crown Fried Chicken,PA,16,2.5
367,Snacks By The Pound,PA,8,3.5
371,Reinette Café & Patisserie,AB,5,3.0
372,The Love,PA,618,4.0
373,Papa John's Pizza,MO,9,2.0
378,JoJo's Hot Dogs and BBQ,TN,14,4.5
381,emPIEnada,NV,41,4.5
385,New Orleans Jazz Market,LA,31,4.0
386,Ryan Christopher,PA,120,4.0
391,Noble Crust,FL,496,4.5
392,Domino's Pizza,FL,20,2.5
395,Liberty City Roasters,PA,8,4.5
409,Jong Ka Jib,PA,351,4.5
415,Tokyo Mandarin,NJ,88,4.0
420,Paddy Whacks Irish Sports Pub - South Street,PA,161,2.5
431,Marty's Pizza,CA,64,4.0
435,Taste of the Caribbean,IN,17,3.0
436,Marcie Blaine,PA,8,3.5
441,The Corner Cafe and Deli,FL,6,4.0
443,The Twisted Tail,PA,604,4.0
444,The Office,NV,7,5.0
446,Metro Diner,PA,56,3.5
450,The Hip Hop Sandwich Shop,FL,5,2.5
457,La Bella China Restaurant,AZ,92,4.0
460,McDonald's,NJ,20,2.0
461,Local Links,NJ,70,4.5
467,Peace of Mind Pub & Eatery,IN,8,2.0
470,Cal Taco,CA,189,4.0
475,Merendero La Catrachitas,MO,22,4.5
479,BODHI : Craft Bar + Thai Bistro,IN,132,4.5
481,Chris' Pizza Village Pleasant View,TN,31,4.0
484,Nutrishop,FL,9,4.0
506,V Sandwiches,AB,9,3.5
509,Freddy's Frozen Custard & Steakburgers,PA,26,3.5
514,McDonald's,MO,62,1.5
518,Biryani Hut,IN,83,4.0
526,Chick-fil-A,PA,80,4.0
529,Checkers,PA,21,2.0
536,NY Bagel & Deli Shop,PA,31,4.0
537,The Bricks,FL,548,4.0
541,Piccadilly,LA,51,3.0
542,Sherbrooke Liquor Store,AB,77,4.5
551,Olde Black Horse,PA,9,4.0
552,The Boiling House,NJ,238,4.0
553,Just Churros,AZ,25,5.0
555,Pho Bistro,CA,184,3.0
556,Dunkin',FL,8,2.0
559,Smoke & Thyme,ID,19,4.0
566,Persis Biryani Indian Grill,TN,246,4.5
568,Amber Indian Restaurant,IN,243,4.0
